abbreviation
C
Lab
LD
UKIP
BNP
SNP
Green
SF
DUP
PC
Ind
SDLP
Eng Dem
Alliance
Respect
TUV
ChP
IndCHC
TUSC
Green Belt
NF
Loony
Soc Lab
Blaenau Voice
CPA
Meb Ker
Lib
Lincs Ind
Mansfield Ind
ND
Soc Alt
Trust
SSP
PBP
Macc Ind
BIC
LLPBPP
Ind Rantzen
Green Soc
Soc Dem
BIB
Pirate
Staffs Ind
CSP
Tendring
RA
Dem Lab
Eng Ind
D Nat
King George
WRP 738
PPN-V
Ind Voice
Comm
APP
Mid England
Ch M
Bean
IZB
UPS
Impact
MP Expense
Best
J&AC
Cornish D
Save QM
Reform
CNBPG
PNDP
No vote
NSPS
You
Parenting
R and E
Good
City Ind
Christian
Poetry
Jacobite
F and R
RRG
Ind People
JP
YRDPL
Snouts
BCP
Leave EU
Comm Brit
YP
Integrity
Clause
Voice
FDP
DDP
Science
Ind CCF
Ind EACPS
Ind Fed
Libertarian
MRP
SEP
Battersea
CIP
Comm Lge
Beer
Animals
Soc
SACL
Ind Fed
TOC
SMA
New Party
BP Elvis
Magna Carta
Med Ind
WP
Deficit
LTT
AD
Youth
Joy
Nat Dem
Anti-War
Currency
NFP
Workers Lib
Nobody
Wessex Reg
Land
Humanity
RP
PP Essex
BB
South
UK Integrity
Blue
Total
